survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,B,Southampton,yes,False
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,D,Southampton,no,True
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,man,True,B,Cherbourg,no,True
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,D,Southampton,yes,True
1,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,2,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,child,False,B,Southampton,yes,False
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,A,Southampton,no,True
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,E,Southampton,yes,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,B,Southampton,yes,False
1,3,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,Third,woman,False,E,Southampton,yes,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,woman,False,E,Cherbourg,yes,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,D,Southampton,yes,False
1,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,E,Southampton,yes,True
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,D,Southampton,yes,True
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,A,Southampton,no,True
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,1,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,D,Southampton,yes,False
0,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,man,True,B,Southampton,no,True
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,1,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,woman,False,C,Cherbourg,yes,False
1,1,female,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,S,First,woman,False,B,Southampton,yes,True
1,1,male,<bound method TransformerMixin.fit_transform of StandardScaler()>,0,0,<bound method TransformerMixin.fit_transform of StandardScaler()>,C,First,man,True,C,Cherbourg,yes,True
